frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
132,2.236903508,10.11.12.1,10.11.12.18,SSH,98,Server: Encrypted packet (len=44)
133,2.237866935,10.11.12.1,10.11.12.17,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
134,2.238376751,10.11.12.1,10.11.12.17,HTTP,209,HTTP/1.0 200 OK  (text/html)
135,2.238791011,10.11.12.17,10.11.12.1,TCP,66,34760 → 80 [ACK] Seq=926 Ack=18 Win=64256 Len=0 TSval=1513316354 TSecr=1001358101
136,2.240665903,10.11.12.17,10.11.12.1,TCP,66,34760 → 80 [FIN, ACK] Seq=926 Ack=162 Win=64128 Len=0 TSval=1513316356 TSecr=1001358102
137,2.240749496,10.11.12.1,10.11.12.17,TCP,66,80 → 34760 [ACK] Seq=162 Ack=927 Win=64256 Len=0 TSval=1001358104 TSecr=1513316356
138,2.243989001,3.11.193.37,10.11.12.22,SSL,134,Continuation Data
139,2.246434043,3.11.193.37,10.11.12.22,SSL,344,Continuation Data
140,2.249023566,10.11.12.22,3.11.193.37,TCP,66,48190 → 443 [ACK] Seq=932 Ack=1033 Win=736 Len=0 TSval=3782617729 TSecr=197278153
141,2.283692182,10.11.12.22,3.11.193.37,SSL,245,Continuation Data
142,2.286372890,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=1111 Win=1265 Len=0 TSval=197278158 TSecr=3782617764
143,2.289290340,10.11.12.22,3.11.193.37,SSL,1448,Continuation Data
144,2.289510618,10.11.12.22,3.11.193.37,SSL,240,Continuation Data
145,2.292520197,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=2493 Win=1261 Len=0 TSval=197278158 TSecr=3782617769
146,2.292829883,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=1033 Ack=2667 Win=1261 Len=0 TSval=197278158 TSecr=3782617769
